_root,Source,Class,Type,rank,Brand,SKU,Crawl date,Product Link
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,1,,"Realme Narzo 50I (Mint Green, 4Gb Ram+64Gb Storage) - With No Cost Emi/Additional Exchange Offers",10/12/2022,/realme-narzo-Mint-Green-Storage/dp/B09FKBQ3JM/ref=sr_1_1?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-1
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,2,,"Smartphone 8S 5G (Universe Blue, 6Gb Ram, 128Gb Storage)",10/12/2022,/Smartphone-Universe-Blue-128GB-Storage/dp/B0BHSG9Z2K/ref=sr_1_omk_2?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-2
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,3,,"Redmi Note 11T 5G (Matte Black, 8Gb Ram, 128Gb Rom)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers| Get 2 Months Of Youtube Premium Free!",10/12/2022,/Redmi-Note-11T-5G-Dimensity/dp/B09LJ12YNK/ref=sr_1_3?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-3
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,4,,Realme Narzo 50 Pro 5G (Hyper Black 6Gb Ram+128Gb Storage) Dimensity 920 5G Processor |90Hz Super Amoled Display,10/12/2022,/realme-Storage-Dimensity-Processor-Display/dp/B09ZBG7J7F/ref=sr_1_4?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-4
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,5,,"Redmi 9A Sport (Metallic Blue, 2Gb Ram, 32Gb Storage) | 2Ghz Octa-Core Helio G25 Processor | 5000 Mah Battery",10/12/2022,/Redmi-9A-Sport-Octa-core-Processor/dp/B09GFQQFRF/ref=sr_1_5?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-5
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,6,,"Nokia G21 Android Smartphone, Dual Sim, 3-Day Battery Life, 6Gb Ram + 128Gb Storage, 50Mp Triple Ai Camera | Nordic Blue",10/12/2022,/Nokia-Android-Smartphone-Battery-Storage/dp/B09Y99VSSJ/ref=sr_1_6?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-6
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,7,,"Redmi 9 (Sky Blue, 4Gb Ram, 64Gb Storage) | 2.3Ghz Mediatek Helio G35 Octa Core Processor",10/12/2022,/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_7?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-7
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,8, Vivo,"Iqoo Vivo Z5 5G (Arctic Dawn, 8Gb Ram, 128Gb Storage) | Snapdragon 778G 5G Processor | 5000Mah Battery | 44W Flashcharge",10/12/2022,/iQOO-Storage-Snapdragon-Processor-FlashCharge/dp/B07WGPJV3H/ref=sr_1_8?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-8
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,9,,"Iqoo Z6 5G (Chromatic Blue, 8Gb Ram, 128Gb Storage) | Snapdragon 695-6Nm Processor | 120Hz Fhd+ Display | 5000Mah Battery",10/12/2022,/iQOO-Chromatic-Storage-Snapdragon-Processor/dp/B07WHQBZLS/ref=sr_1_9?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-9
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,10,,"Realme Narzo 50I (Carbon Black, 2Gb Ram+32Gb Storage) - With No Cost Emi/Additional Exchange Offers",10/12/2022,/realme-narzo-Carbon-Black-Storage/dp/B09FKGDJNC/ref=sr_1_10?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-10
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,11,,"Iqoo Z6 44W (Raven Black, 6Gb Ram, 128Gb Storage)",10/12/2022,/iQOO-Raven-Black-128GB-Storage/dp/B07WGPKMP5/ref=sr_1_11?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-11
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,12,,"Realme Narzo 50I (Carbon Black, 4Gb Ram+64Gb Storage) - With No Cost Emi/Additional Exchange Offers",10/12/2022,/realme-narzo-Carbon-Black-Storage/dp/B09FKB3446/ref=sr_1_12?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-12
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,13,,"Oppo A31 (Mystery Black, 6Gb Ram, 128Gb Storage) With No Cost Emi/Additional Exchange Offers",10/12/2022,/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_13?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-13
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,14,Samsung,"Samsung Galaxy M13 (Stardust Brown, 6Gb, 128Gb Storage) | 6000Mah Battery | Upto 12Gb Ram With Ram Plus",10/12/2022,/Samsung-Stardust-Storage-6000mAh-Battery/dp/B0B4F2ZWL3/ref=sr_1_14?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-14
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,15,,"Tecno Pop 5 Lte(Deepsea Luster 2Gb Ram, 32Gb Storage)| 8Mp Dual Camera | Face Unlock",10/12/2022,/Tecno-Deepsea-Luster-5000mAh-Resistant/dp/B09PRDQN1C/ref=sr_1_15?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-15
https://www.amazon.in/s?k=smartphones&crid=131WJMTN3MC0&sprefix=smartphones%2Caps%2C237&ref=nb_sb_noss_1,Amazon,Keyword Search,Card,16,,"Redmi 9 Activ (Coral Green, 6Gb Ram, 128Gb Storage)",10/12/2022,/Redmi-Activ-Coral-Green-Storage/dp/B09GFMFTHS/ref=sr_1_16?crid=131WJMTN3MC0&keywords=smartphones&qid=1665555291&qu=eyJxc2MiOiI4LjgzIiwicXNhIjoiOC4zNyIsInFzcCI6IjYuMzUifQ%3D%3D&sprefix=smartphones%2Caps%2C237&sr=8-16
